name,type,start_date,end_date,significance,dynasty_name,image,color,description
Mohammad Reza Shah Pahlavi,king,1941 AD,1979 AD,4,Pahlavi Dynasty,,,Mohammad Reza Shah faced revolution.
Humban-Tahrah,king,2500 BC,2480 BC,2,Elamite Kingdom,,,Humban-Tahrah led Elamite tribes.
Artaxerxes II,king,404 BC,358 BC,3,Achaemenid Empire,,,Artaxerxes II faced rebellions.
Antiochus IV,king,175 BC,164 BC,3,Seleucid Empire,,,Antiochus IV clashed with Jews.
Phraates I,king,176 BC,171 BC,2,Parthian Empire,,,Phraates I expanded Parthia.
Vologases I,king,51 AD,78 AD,3,Parthian Empire,,,Vologases I fought Rome.
Bahram I,king,271 AD,274 AD,2,Sasanian Empire,,,Bahram I ruled briefly.
Narseh,king,293 AD,302 AD,2,Sasanian Empire,,,Narseh lost to Rome.
Hormizd I,king,270 AD,271 AD,1,Sasanian Empire,,,Hormizd I had a short reign.
Abd al-Malik,king,685 AD,705 AD,3,Umayyad Caliphate,,,Abd al-Malik reformed coins.
Al-Mansur,king,754 AD,775 AD,4,Abbasid Caliphate,,,Al-Mansur founded Baghdad.
Tahir II,king,845 AD,862 AD,2,Tahirid Dynasty,,,Tahir II ruled Khorasan.
Nasr I,king,864 AD,892 AD,3,Samanid Empire,,,Nasr I stabilized Samanids.
Fakhr al-Dawla,king,976 AD,997 AD,3,Buyid Dynasty,,,Fakhr al-Dawla held Shiraz.
Toghrul II,king,1132 AD,1134 AD,2,Seljuk Empire,,,Toghrul II ruled briefly.
Arghun,king,1284 AD,1291 AD,3,Ilkhanate,,,Arghun ruled Ilkhanate.
Abu Sa’id,king,1316 AD,1335 AD,3,Ilkhanate,,,Abu Sa’id ended Ilkhanate.
Qara Yusuf,king,1388 AD,1420 AD,3,Kara Koyunlu,,,Qara Yusuf led Kara Koyunlu.
Jahan Shah,king,1438 AD,1467 AD,3,Kara Koyunlu,,,Jahan Shah fought Timurids.
Yakub Beg,king,1467 AD,1490 AD,3,Aq Qoyunlu,,,Yakub Beg ruled Aq Qoyunlu.
Shah Ismail II,king,1576 AD,1577 AD,2,Safavid Empire,,,Shah Ismail II ruled briefly.
Ibrahim Afshar,king,1748 AD,1749 AD,2,Afsharid Dynasty,,,Ibrahim Afshar ruled briefly.
Jafar Khan,king,1785 AD,1789 AD,2,Zand Dynasty,,,Jafar Khan ruled Zand briefly.
Kiumarth,king,1500 BC,1480 BC,2,Kayanian Dynasty,,,Kiumarth is a mythic king.
Hushang,king,1480 BC,1460 BC,2,Kayanian Dynasty,,,Hushang taught fire use.
Tahmuras,king,1460 BC,1440 BC,2,Kayanian Dynasty,,,Tahmuras fought demons.
Jamshid,king,1440 BC,1420 BC,3,Kayanian Dynasty,,,Jamshid ruled a golden age.
Hakhamanish,king,700 BC,675 BC,2,Achaemenid Empire,,,Hakhamanish founded Achaemenid line.
Chishpish,king,675 BC,650 BC,2,Achaemenid Empire,,,Chishpish ruled early Achaemenids.
Vologases II,king,77 AD,80 AD,2,Parthian Empire,,,Vologases II ruled Parthia briefly.
Pacorus II,king,78 AD,105 AD,3,Parthian Empire,,,Pacorus II resisted Rome.
Osroes I,king,109 AD,129 AD,2,Parthian Empire,,,Osroes I faced Trajan.
Tiridates I,king,63 AD,100 AD,3,Parthian Empire,,,Tiridates I was crowned by Nero.
Bahram II,king,274 AD,283 AD,2,Sasanian Empire,,,Bahram II ruled Sasanians.
Bahram III,king,283 AD,283 AD,1,Sasanian Empire,,,Bahram III reigned briefly.
Shapur III,king,383 AD,388 AD,2,Sasanian Empire,,,Shapur III made peace with Rome.
Yazdegerd II,king,438 AD,457 AD,3,Sasanian Empire,,,Yazdegerd II fought Huns.
Hormizd II,king,302 AD,309 AD,2,Sasanian Empire,,,Hormizd II ruled briefly.
Bahram IV,king,388 AD,399 AD,2,Sasanian Empire,,,Bahram IV ruled quietly.
Al-Walid I,king,705 AD,715 AD,3,Umayyad Caliphate,,,Al-Walid I expanded Umayyads.
Umar II,king,717 AD,720 AD,3,Umayyad Caliphate,,,Umar II reformed justly.
Al-Mu’tadid,king,892 AD,902 AD,3,Abbasid Caliphate,,,Al-Mu’tadid regained power.
Al-Muktafi,king,902 AD,908 AD,2,Abbasid Caliphate,,,Al-Muktafi ruled Abbasids.
Nasr II,king,914 AD,943 AD,3,Samanid Empire,,,Nasr II faced rebellions.
Rukn al-Dawla,king,935 AD,976 AD,3,Buyid Dynasty,,,Rukn al-Dawla held Buyid power.
Barkiyaruq,king,1094 AD,1105 AD,3,Seljuk Empire,,,Barkiyaruq fought kin.
Muhammad I Tapar,king,1105 AD,1118 AD,3,Seljuk Empire,,,Muhammad I stabilized Seljuks.
Al-Mustarshid,king,1118 AD,1135 AD,2,Abbasid Caliphate,,,Al-Mustarshid defied Seljuks.
Abu Kalijar,king,1024 AD,1048 AD,2,Buyid Dynasty,,,Abu Kalijar ruled Buyids.
